Области/Регионы;ГОРОДА;Население
Иркутская область;Черемхово;53160
Республика Саха (Якутия);Нерюнгри;53143
Красноярский край;Зеленогорск (Красноярский край);52913
Тульская область;Щекино;52901
Пермский край;Лысьва;52708
Воронежская область;Лиски;52531
Республика Марий Эл;Волжск;51634
Забайкальский край;Краснокаменск;51576
Краснодарский край;Тимашевск;51514
Республика Дагестан;Кизляр;50959
Челябинская область;Снежинск;50805
Смоленская область;Вязьма;50611
Ленинградская область;Кириши;49631
Владимирская область;Гусь-Хрустальный;49282
Ямало-Ненецкий АО;Салехард;49160
Ленинградская область;Кингисеппский;48987
Ростовская область;Аксай (Ростовская область);48910
Ленинградская область;Кингисепп;48807
Амурская область;Свободный;48637
Самарская область;Жигулевск;48564
Свердловская область;Лесной;48284
Мурманская область;Апатиты;48262
Тульская область;Узловая;47965
Краснодарский край;Курганинск;47801
Московская область;Солнечногорск (Московская область);47514
Пермский край;Краснокамск;47379
Нижегородская область;Балахна;47379
Приморский край;Арсеньев;47015
Республика Башкортостан;Бирск;46957
Новгородская область;Боровичи;46918
Тамбовская область;Рассказово;46633
Ханты-Мансийский АО - Югра;Советский (Ханты-Мансийский АО);46492
Самарская область;Отрадный (Самарская область);46480
Ленинградская область;Сестрорецк;45935
Ростовская область;Донецк (Ростовская область);45737
Ханты-Мансийский АО - Югра;Радужный (Ханты-Мансийский АО - Югра);45574
Иркутская область;Верхнемарково;45168
Пермский край;Ленинск (Пермский край);44830
Московская область;Краснознаменск (Московская область);44657
Челябинская область;Чебаркуль;44648
Московская область;Кашира (Московская область);44551
Ленинградская область;Кронштадт;44515
Ямало-Ненецкий АО;Надым;44510
Пермский край;Чусовой;44366
Мурманская область;Североморск;44339
Республика Ингушетия;Карабулак;44323
Красноярский край;Назарово;44261
Ханты-Мансийский АО - Югра;Лангепас;44157
Нижегородская область;Выкса;44060
Республика Хакасия;Саяногорск;43995
Кемеровская область;Березовский (Кемеровская область);43649
Тверская область;Вышний Волочек;43598
Смоленская область;Рославль;43592
Удмуртская Республика;Можга;43557
Чувашская Республика;Канаш;43508
Чеченская республика;Аргун;43456
Краснодарский край;Кореновск;43084
Челябинская область;Сатка;43056
Орловская область;Ливны;42694
Краснодарский край;Каневская;42596
Ханты-Мансийский АО - Югра;Лянтор;42329
Краснодарский край;Горячий Ключ;42272
Оренбургская область;Бугуруслан;42205
Республика Мордовия;Рузаевка;42124
Калужская область;Малоярославец;42072
Приморский край;Вольно-Надеждинское;41960
Краснодарский край;Темрюк;41796
Новосибирская область;Куйбышев;41494
Ханты-Мансийский АО - Югра;Урай;41356
Красноярский край;Сосновоборск;40913
Приморский край;Большой Камень;40697
Иркутская область;Шелехов;40666
Ханты-Мансийский АО - Югра;Пыть-Ях;40530
Краснодарский край;Апшеронск;40432
Смоленская область;Ярцево;40419
Кемеровская область;Мариинск;40266
Саратовская область;Пугачев;40256
Алтайский край;Заринск;40255
Свердловская область;Верхняя Салда;40132
Кабардино-Балкарская республика;Баксан;40010
Тверская область;Торжок;39503
