Области/Регионы;ГОРОДА;Население
Волгоградская область;Чилеково (Волгоградская область);1417
Новосибирская область;Шахта;1416
Ханты-Мансийский АО - Югра;Цингалы;1416
Омская область;Борисовское;1416
Белгородская область;Верхняя Покровка;1415
Пензенская область;Титово;1415
Саратовская область;Кочетное (Саратовская область);1414
Саратовская область;Студеновка (Саратовская область);1413
Волгоградская область;Аксай (Волгоградская область);1413
Волгоградская область;Петрунино (Волгоградская область);1412
Курская область;Возы;1412
Белгородская область;Малакеево;1412
Воронежская область;Покровка (Воронежская область);1412
Республика Татарстан;Сулеево;1411
Волгоградская область;Березовская;1410
Красноярский край;Тюльково;1410
Волгоградская область;Пригородный (Волгоградская область);1409
Волгоградская область;Захаровский (Волгоградская область);1408
Саратовская область;Кривояр (Саратовская область);1408
Республика Саха (Якутия);Бестях;1407
Воронежская область;Костенки;1407
Алтайский край;Кусак;1406
Забайкальский край;Билитуй (Забайкальский край);1406
Волгоградская область;Лозное;1405
Камчатский край;Вулканный;1404
Тюменская область;Пятково;1403
Республика Башкортостан;Копей-Кубово;1403
Волгоградская область;Песковатка;1403
Забайкальский край;Утан (Забайкальский край);1403
Ростовская область;Новороговская;1402
Волгоградская область;Яминский (Волгоградская область);1398
Алтайский край;Шульгинка;1397
Волгоградская область;Авилов (Волгоградская область);1397
Республика Башкортостан;Нижнебалтачево;1396
Омская область;Соловьевка;1396
Сахалинская область;Вахрушев;1394
Алтайский край;Анисимово;1393
Омская область;Баженово;1392
Республика Башкортостан;Магинск;1392
Иркутская область;Янталь;1391
Краснодарский край;Бесленеевская;1390
Ханты-Мансийский АО - Югра;Сорум;1387
Волгоградская область;Островской (Волгоградская область);1387
Пензенская область;Студенка;1385
Оренбургская область;Пугачевский;1385
Республика Татарстан;Убей;1385
Иркутская область;Березняки;1384
Республика Башкортостан;Рухтино;1384
Красноярский край;Артемовск (Красноярский край);1383
Волгоградская область;Морец;1382
Орловская область;1-й Воин;1381
Брянская область;Погребы;1381
Ленинградская область;Пчевжа;1378
Республика Татарстан;Лубяны;1378
Астраханская область;Заволжское (Астраханская область);1377
Ростовская область;Войнов;1376
Новгородская область;Уторгош;1374
Саратовская область;Лебедевка (Саратовская область);1373
Республика Башкортостан;Карлыханово;1373
Иркутская область;Гуран;1373
Хабаровский край;Многовершинный;1371
Республика Хакасия;Первомайское (Республика Хакасия);1371
Новосибирская область;Тебисское;1369
Краснодарский край;Еремизино-Борисовская;1369
Ростовская область;Шептуховка;1368
Оренбургская область;Кирсановка;1367
Ивановская область;Шекшово;1367
Ульяновская область;Холстовка;1367
Республика Татарстан;Шапши;1365
Волгоградская область;Цаца;1364
Иркутская область;Будагово;1364
Алтайский край;Логовское;1364
Республика Калмыкия;Солёное (Калмыкия);1362
Республика Бурятия;Хонхолой;1362
Оренбургская область;Нижнеозерное;1361
Саратовская область;Песчаное (Саратовская область);1359
Красноярский край;Кордово;1358
Рязанская область;Алёшино (Сасовский район);1358
Ульяновская область;Сара;1357
Белгородская область;Афанасово;1357
Республика Коми;Сторожевск;1357
Астраханская область;Ново-Николаевка (Астраханская область);1356
Орловская область;Коротыш;1356
Челябинская область;Путь Октября;1354
Саратовская область;Орошаемый (Саратовская область);1353
Республика Башкортостан;Аксаитово;1353
Мурманская область;Междуречье (Мурманская область);1352
Карачаево-Черкесская Республика;Архыз;1350
Смоленская область;Михейково;1348
Республика Башкортостан;Узян;1348
Республика Бурятия;Цолга;1346
Республика Башкортостан;Чураево;1346
Волгоградская область;Гусевка;1344
Республика Саха (Якутия);Болугур;1344
Воронежская область;Евстратовка;1344
Белгородская область;Нагорье (Белгородская область);1344
Самарская область;Новое Якушкино;1342
Волгоградская область;Черкесовский;1339
Алтайский край;Усятское;1337
Волгоградская область;Краснодонский (Волгоградская область);1336
Тюменская область;Боровский;1335
Саратовская область;Белое Озеро (Саратовская область);1334
Волгоградская область;Зензеватка;1334
Хабаровский край;Маяк;1334
Саратовская область;Усатово (Саратовская область);1333
Самарская область;Черновка;1332
Республика Тыва;Чыраа-Бажы;1330
Республика Калмыкия;Красномихайловское;1329
Хабаровский край;Лидога;1329
Ростовская область;Парамонов;1327
Волгоградская область;Степновский (Волгоградская область);1327
Кировская область;Пинюг;1326
Волгоградская область;Крепинский;1325
Псковская область;Заплюсье;1323
Республика Мордовия;Первомайск (Республика Мордовия);1323
Новосибирская область;Зубково;1323
Алтайский край;Крутишка;1322
Челябинская область;Варшавка;1321
Иркутская область;Шумский;1320
Оренбургская область;Хуторка;1319
Волгоградская область;Дубовое (Волгоградская область);1319
Воронежская область;Михайловка (Воронежская область);1319
Волгоградская область;Клетско-Почтовский (Волгоградская область);1318
Самарская область;Прогресс (Самарская область);1318
Саратовская область;Березово (Саратовская область);1317
Красноярский край;Кожаны;1316
Красноярский край;Маринино;1316
Республика Башкортостан;Нугуш;1315
Мурманская область;Островной;1312
Ивановская область;Марково (Ивановская область);1311
Алтайский край;Подойниково;1310
Челябинская область;Алабуга (Челябинская область);1310
Белгородская область;Зенино;1309
Ростовская область;Дубровский;1309
Ханты-Мансийский АО - Югра;Сытомино;1309
Алтайский край;Плешково;1308
Алтайский край;Солоновка (Волчихинский район);1307
Республика Карелия;Каменный Бор;1306
Республика Татарстан;Мамыково;1305
Пензенская область;Степановка (Пензенская область);1305
Алтайский край;Камышенка;1304
Архангельская область;Кодино;1303
Республика Бурятия;Шаралдай;1303
Саратовская область;Долина (Саратовская область);1303
Новосибирская область;Табулга;1302
Республика Крым;Останино;1301
Новосибирская область;Шагалово;1301
Воронежская область;Писаревка (Воронежская область);1299
Саратовская область;Новоалександровка (Саратовская область, Александрово-Гайский район);1298
Ростовская область;Рогожкино (Ростовская область);1296
Волгоградская область;Терса;1294
Волгоградская область;Усть-Грязнуха (Волгоградская область);1293
Республика Башкортостан;Нордовка;1292
Волгоградская область;Гришинский (Волгоградская область);1292
Республика Саха (Якутия);Тойбохой;1292
Хабаровский край;Бичевая;1291
Самарская область;Новое Усманово;1290
Ярославская область;Глебовское;1290
Самарская область;Большая Рязань;1290
Ростовская область;Мигулинская;1289
Новосибирская область;Битки;1289
Волгоградская область;Матышево;1288
Республика Коми;Зимстан;1287
Омская область;Боголюбовка;1286
Самарская область;Воротнее;1286
Ленинградская область;Большая Вруда;1286
Республика Башкортостан;Аитово;1286
Оренбургская область;Ключевка;1285
Орловская область;Корсаково;1285
Ростовская область;Большая Кирсановка;1285
Красноярский край;Абалаково;1285
Оренбургская область;Домбаровский;1282
Кировская область;Аркуль;1281
Ханты-Мансийский АО - Югра;Лыхма;1281
Забайкальский край;Ингода (Забайкальский край);1281
Республика Башкортостан;Тятер-Арасланово;1280
Самарская область;Новая Кармала;1279
Тюменская область;Абалак;1277
Кировская область;Шурма;1276
Алтайский край;Парфеново;1276
Новосибирская область;Лебедевка;1275
Ленинградская область;Фалилеево;1274
Республика Крым;Заозёрное;1273
Оренбургская область;Елшанка Первая;1272
Республика Татарстан;Тумутук;1271
Волгоградская область;Каменский (Волгоградская область, Иловлинский район);1269
Республика Карелия;Шальский;1268
Новосибирская область;Красноселье;1267
Воронежская область;Калачеевский;1266
Новосибирская область;Чернокурья;1265
Оренбургская область;Привольное (Оренбургская область);1264
Томская область;Батурино;1264
Республика Алтай;Сейка;1264
Волгоградская область;Усть-Хоперская;1263
Воронежская область;Русаново;1262
Волгоградская область;Михайловская (Волгоградская область);1262
Белгородская область;Поповка (Белгородская область);1262
Алтайский край;Карамышево (Алтайский край);1262
Воронежская область;Новомарковка;1260
Республика Башкортостан;Ариево;1260
Республика Мордовия;Кочелаево;1259
Волгоградская область;Перелазовский;1259
Республика Коми;Седкыркещ;1259
Республика Бурятия;Никольск;1258
Омская область;Лежанка;1255
Волгоградская область;Нижнеосиновский (Волгоградская область);1254
Новосибирская область;Блюдчанское;1252
Забайкальский край;Хохотуй;1251
Челябинская область;Гранитный;1250
Ленинградская область;Вистино;1250
Ростовская область;Маньково-Калитвенская;1250
Волгоградская область;Голубинская;1246
Ленинградская область;Торковичи;1246
Республика Башкортостан;Новотазларово (Республика Башкортостан);1245
Белгородская область;Закутское;1245
Краснодарский край;Гришковское;1245
Забайкальский край;Букачача;1244
Республика Саха (Якутия);Казачье;1244
Республика Башкортостан;Кара-Якупово;1244
Ханты-Мансийский АО - Югра;Половинка;1244
Магаданская область;Эвенск;1243
Алтайский край;Глядень;1243
Воронежская область;Филиппенково;1243
Волгоградская область;Маляевка (Волгоградская область);1242
Мурманская область;Верхнетуломский;1240
Кировская область;Косино;1239
Новосибирская область;Вьюны;1239
Алтайский край;Кашкарагаиха;1239
Республика Калмыкия;Эсто-Алтай;1239
Омская область;Иртыш;1239
Воронежская область;Смаглеевка;1238
Волгоградская область;Перекопская (Волгоградская область);1237
Новосибирская область;Щербаково;1236
Курская область;Кобылки;1235
Кировская область;Медведок;1234
Саратовская область;Журавлевка (Саратовская область);1233
Омская область;Кутузовка;1233
Саратовская область;Сластуха;1228
Пензенская область;Чернозерье;1227
Саратовская область;Демьяс;1227
Волгоградская область;Солодушино (Волгоградская область);1226
Республика Татарстан;Мюд;1226
Саратовская область;Канаевка (Саратовская область);1225
Забайкальский край;Хара-Шибирь (Забайкальский край);1225
Волгоградская область;Упорниковская;1224
Саратовская область;Верхний Еруслан (Саратовская область);1224
Воронежская область;Юдановка;1224
Красноярский край;Кортуз;1223
Новосибирская область;Колыбелька;1222
Алтайский край;Гришковка;1221
Оренбургская область;Суворовский;1221
Ростовская область;Верхнемакеевка;1220
Воронежская область;Щучинские-Пески;1218
Волгоградская область;Лемешкино (Волгоградская область);1217
Воронежская область;Гаврильск;1217
Волгоградская область;Сиротинская;1216
Чукотский АО;Беринговский;1215
Омская область;Репинка;1215
Волгоградская область;Большая Глушица (Волгоградская область);1214
Алтайский край;Новоильинка;1213
Волгоградская область;Вертячий;1212
Республика Коми;Замежная;1212
Волгоградская область;Комсомольский (Волгоградская область, Калачевский район);1211
Волгоградская область;Умет (Волгоградская область);1211
Ярославская область;Варегово;1210
Алтайский край;Антоньевка;1210
Новосибирская область;Шурыгино;1210
Алтайский край;Голуха;1210
Саратовская область;Индустриальный (Саратовская область);1206
Алтайский край;Сереброполь;1203
Забайкальский край;Николаевское (Забайкальский край);1203
Ульяновская область;Шаховское;1202
Воронежская область;Пчелиновка;1200
Брянская область;Брасово;1199
Камчатский край;Октябрьский (Камчатский край);1199
Амурская область;Сиваки;1199
Омская область;Ивановка (Омская область);1198
Волгоградская область;Сергиевская;1198
Калужская область;Корекозево;1198
Ульяновская область;Славкино;1198
Республика Башкортостан;Макарово;1197
Хабаровский край;Сита;1196
Республика Башкортостан;Карача-Елга;1196
Ханты-Мансийский АО - Югра;Шеркалы;1196
Волгоградская область;Пронин (Волгоградская область);1196
Республика Татарстан;Юхмачи;1196
Оренбургская область;Свердлово;1195
Забайкальский край;Дунаево (Забайкальский край);1195
Волгоградская область;Генераловский (Волгоградская область);1194
Воронежская область;Первомайское (Воронежская область);1194
Омская область;Южно-Подольск;1194
Ханты-Мансийский АО - Югра;Приполярный;1193
Саратовская область;Новопокровское;1193
Волгоградская область;Алешники (Волгоградская область);1191
Саратовская область;Бутырки (Саратовская область);1190
Белгородская область;Радьковка;1189
Томская область;Катайга;1189
Новосибирская область;Заковряжино;1188
Республика Хакасия;Устинкино;1188
Челябинская область;Кидыш;1187
Забайкальский край;Ононское (Забайкальский край);1187
Самарская область;Красный Строитель;1187
Саратовская область;Гвардейское (Саратовская область);1185
Республика Башкортостан;Таймеево;1185
Воронежская область;Бродовое;1185
Калужская область;Заречье (Калужская область);1184
Волгоградская область;Большемедведевский (Волгоградская область);1184
Воронежская область;Синявка;1183
Новгородская область;Ивантеево;1183
Волгоградская область;Попки (Волгоградская область);1182
Ростовская область;Чирский;1181
Нижегородская область;Сатис;1180
Белгородская область;Березовка (Белгородская область);1179
Ульяновская область;Выры;1179
Республика Татарстан;Пановка (Республика Татарстан);1178
Волгоградская область;Нижнеяблочный;1177
Волгоградская область;Акчернский (Волгоградская область);1175
Кировская область;Коршик;1175
Республика Карелия;Ведлозеро;1174
Волгоградская область;Искра (Волгоградская область);1174
Забайкальский край;Калангуй (Забайкальский край);1173
Оренбургская область;Сарай-Гир;1173
Новосибирская область;Ирбизино;1173
Ростовская область;Верхняковский;1172
Алтайский край;Новиково;1171
Волгоградская область;Очкуровка (Волгоградская область);1170
Хабаровский край;Дуки;1169
Волгоградская область;Белогорский (Волгоградская область, Кумылженский район);1167
Волгоградская область;Деминский;1167
Краснодарский край;Глафировка;1167
Алтайский край;Кашино (Алтайский край);1167
Алтайский край;Екатерининское;1164
Забайкальский край;Кадахта (Забайкальский край);1162
Саратовская область;Камышево (Саратовская область);1161
Волгоградская область;Купцово (Волгоградская область);1161
Алтайский край;Воеводское;1160
Самарская область;Новое Ганькино;1160
Республика Башкортостан;Ермолкино;1158
Саратовская область;Сергиевский (Саратовская область);1157
Белгородская область;Погромец;1156
Республика Бурятия;Куйтун (Республика Бурятия);1156
Волгоградская область;Абрамов (Волгоградская область);1156
Воронежская область;Веретье;1155
Саратовская область;Дмитриевка (Саратовская область, Духовницкий район);1154
Республика Башкортостан;Юнусово;1154
Республика Саха (Якутия);Намцы;1151
Оренбургская область;Второе Имангулово;1151
Воронежская область;Марки;1150
Алтайский край;Рогозиха;1149
Ивановская область;Осановец;1148
Алтайский край;Масальский;1146
Омская область;Могильно-Посельское;1145
Ханты-Мансийский АО - Югра;Карымкары;1145
Республика Хакасия;Бискамжа;1144
Республика Башкортостан;Дурасово;1144
Челябинская область;Кулевчи;1144
Волгоградская область;Приозерный (Волгоградская область);1143
Алтайский край;Линевский;1143
Алтайский край;Гордеевский;1142
Волгоградская область;Семеновод (Волгоградская область);1141
Волгоградская область;Саломатино (Волгоградская область);1140
Тверская область;Радченко;1139
Краснодарский край;Ленинский (Краснодарский край);1138
Тверская область;Изоплит;1138
Иркутская область;Эдучанка;1136
Мурманская область;Пушной (Мурманская область);1136
Тюменская область;Майский (Тюменская область);1135
Ульяновская область;Сосновый Бор (Ульяновская область);1133
Республика Башкортостан;Зильдярово;1133
Воронежская область;Колбино;1132
Забайкальский край;Зуткулей (Забайкальский край);1132
Оренбургская область;Нововасильевка;1129
Новосибирская область;Усть-Луковка;1128
Воронежская область;Нижний Ольшан;1128
Орловская область;Моховое (Орловская область);1127
Забайкальский край;Сохондо (Забайкальский край);1127
Челябинская область;Обручевка;1126
Ульяновская область;Коржевка;1125
Оренбургская область;Благодарное (Оренбургская область);1124
Краснодарский край;Хоперская;1124
Волгоградская область;Шуруповский;1124
Белгородская область;Кощеево;1123
Республика Башкортостан;Тукан;1123
Ленинградская область;Высоцк;1121
Волгоградская область;Бочаровский (Волгоградская область);1121
Волгоградская область;Ромашки (Волгоградская область);1121
Республика Татарстан;Макулово;1120
Республика Башкортостан;Новобалтачево;1119
Новгородская область;Котово (Новгородская область);1119
Республика Башкортостан;Яныбаево;1119
Республика Саха (Якутия);Абага;1117
Алтайский край;Островное (Алтайский край);1117
Республика Башкортостан;Дияшево;1117
Волгоградская область;Сысоевский (Волгоградская область);1114
Волгоградская область;Коростино (Волгоградская область);1113
Волгоградская область;Левчуновка (Волгоградская область);1113
Алтайский край;Боровлянка;1112
Забайкальский край;Токчин (Забайкальский край);1112
Республика Коми;Подзь;1112
Республика Башкортостан;Старобазаново;1111
Хабаровский край;Чумикан;1111
Саратовская область;Гремячий (Саратовская область);1108
Амурская область;Новорайчихинск;1107
Белгородская область;Журавка-Первая;1107
Саратовская область;Ждановка (Саратовская область);1106
Омская область;Побочино;1106
Ростовская область;Солонецкий;1105
Рязанская область;Центральный (Рязанская область);1105
Красноярский край;Галанино;1104
Красноярский край;Георгиевка;1101
Новосибирская область;Бурмистрово;1100
Волгоградская область;Политотдельское (Волгоградская область);1099
Забайкальский край;Цаган-Челутай (Забайкальский край);1098
Республика Башкортостан;Тубинский (Республика Башкортостан);1098
Пензенская область;Черкасское;1097
Новосибирская область;Жуланка;1096
Саратовская область;Соцземледельский;1096
Оренбургская область;Погромное;1095
Волгоградская область;Костарево (Волгоградская область);1094
Брянская область;Чуровичи;1094
Алтайский край;Смазнево;1092
Волгоградская область;Осички (Волгоградская область);1091
Калужская область;Бебелево;1091
Оренбургская область;Сагарчин;1090
Оренбургская область;Аландское;1089
Волгоградская область;Ильменевский (Волгоградская область);1087
Саратовская область;Высокое (Саратовская область);1085
Ивановская область;Новые Горки;1085
Волгоградская область;Победа (Волгоградская область);1085
Белгородская область;Солдатское;1084
Орловская область;Зареченский;1082
Оренбургская область;Петрохерсонец;1082
Белгородская область;Новоалександровка;1082
Саратовская область;Барнуковка (Саратовская область);1081
Воронежская область;Гороховка;1081
Забайкальский край;Целинный (Забайкальский край);1081
Белгородская область;Тишанка;1080
Республика Башкортостан;Имянликулево;1080
Новосибирская область;Маршанское;1079
Волгоградская область;Шелестово;1079
Волгоградская область;Басакин;1079
Красноярский край;Орджоникидзе (Красноярский край);1078
Волгоградская область;Галушкинский (Волгоградская область);1077
Воронежская область;Карпенково;1077
Ханты-Мансийский АО - Югра;Лямина;1077
Орловская область;Апальково;1076
Пензенская область;Наскафтым;1076
Красноярский край;Усть-Кемь;1076
Республика Крым;Виноградное (Алушта);1075
Саратовская область;Клинцовка;1074
Республика Татарстан;Тюрнясево;1073
Республика Коми;Койдин;1073
Саратовская область;Розовое (Саратовская область);1072
Алтайский край;Шумановка;1072
Новосибирская область;Петропавловка 2-я;1072
Белгородская область;Ладомировка;1070
Алтайский край;Карпово Второе;1069
Самарская область;Никитинка;1069
Челябинская область;Богдановское;1069
Омская область;Алабота;1069
Белгородская область;Хотмыжск;1069
Кировская область;Лазарево (Кировская область);1067
Республика Калмыкия;Шарнут;1066
Алтайский край;Полевое;1064
Волгоградская область;Кленовка;1064
Волгоградская область;Поповский (Волгоградская область);1064
Алтайский край;Сидоровка;1063
Астраханская область;Татарская Башмаковка;1062
Волгоградская область;Креповский (Волгоградская область);1061
Астраханская область;Михайловка (Астраханская область);1060
Омская область;Золотая Нива;1059
Ростовская область;Гашун;1057
Республика Башкортостан;Ишкарово;1054
Алтайский край;Дегтярка;1053
Волгоградская область;Шебалино (Волгоградская область);1053
Республика Башкортостан;Охлебинино;1053
Воронежская область;Шишовка;1052
Забайкальский край;Жипхеген;1052
Астраханская область;Золотуха (Астраханская область);1052
Волгоградская область;Калмыковский;1051
Алтайский край;Поспелихинский;1051
Республика Башкортостан;Усень-Ивановское;1051
Амурская область;Дмитриевка (Амурская область);1050
Волгоградская область;Трехостровская (Волгоградская область);1050
Воронежская область;Ростоши;1050
Алтайский край;Протасово;1049
Пензенская область;Ночка;1047
Республика Татарстан;Старошешминск;1047
Алтайский край;Гилевка;1045
Воронежская область;Чесменка;1045
Саратовская область;Усть-Щербедино (Саратовская область);1045
Чеченская республика;Итум-Кали (Чеченская республика);1045
Республика Башкортостан;Нижнечерекулево;1044
Красноярский край;Новокаргино;1044
Рязанская область;Кузьминское (Рязанская область);1042
Республика Татарстан;Байряка;1042
Алтайский край;Клепечиха;1042
Республика Башкортостан;Ургуш;1041
Иркутская область;Азей;1040
Белгородская область;Волчья Александровка;1039
Республика Башкортостан;Метели;1039
Волгоградская область;Мирошники (Волгоградская область);1037
Волгоградская область;Лобакин (Волгоградская область);1036
Волгоградская область;Лопуховка (Волгоградская область);1035
Республика Марий Эл;Михайловка (Республика Марий Эл);1035
Волгоградская область;Лысов (Волгоградская область);1035
Ханты-Мансийский АО - Югра;Локосово;1035
Республика Башкортостан;Новонагаево;1034
Иркутская область;Шелехово;1033
Ростовская область;Савоськин;1033
Пермский край;Широковский (Пермский край);1033
Оренбургская область;Рубежинский;1032
Саратовская область;Львовка (Саратовская область, Аркадакский район);1031
Забайкальский край;Александровский Завод;1031
Астраханская область;Пришиб (Астраханская область);1031
Ульяновская область;Бекетовка;1030
Иркутская область;Балахнинский;1029
Волгоградская область;Ширяевский (Волгоградская область, Иловлинский район);1029
Алтайский край;Карабинка;1027
Новосибирская область;Ужаниха;1027
Волгоградская область;Малодельская;1026
Омская область;Серебряное;1026
Республика Башкортостан;Месели;1026
Алтайский край;Тугозвоново;1025
Волгоградская область;Озерки (Волгоградская область, Иловлинский район);1025
Курская область;Пушкарное;1024
Воронежская область;Чулок;1024
Иркутская область;Уян;1023
Иркутская область;Кундуй;1023
Алтайский край;Чарышское;1022
Республика Коми;Междуреченск (Коми);1021
Белгородская область;Орлик (Белгородская область);1021
Алтайский край;Мартовка;1020
Иркутская область;Седаново;1020
Республика Башкортостан;Исимово;1020
Новосибирская область;Дупленская;1019
Волгоградская область;Краснянский (Волгоградская область, Кумылженский район);1018
Воронежская область;Вязноватовка;1018
Магаданская область;Дукат (Магаданская область);1018
Волгоградская область;Рассвет (Волгоградская область, Иловлинский район);1017
Самарская область;Новотулка (Самарская область);1016
Свердловская область;Ницинское;1016
Новосибирская область;Новопервомайское;1015
Забайкальский край;Урлук;1015
Республика Башкортостан;Лагерево;1015
Иркутская область;Икей;1014
Волгоградская область;Новокиевка (Волгоградская область);1013
Воронежская область;Бондарево;1013
Республика Бурятия;Кудара;1012
Омская область;Белосток;1012
Республика Татарстан;Кармалы;1012
Забайкальский край;Большая Тура (Забайкальский край);1010
Вологодская область;Чебсара;1009
Белгородская область;Анновка;1007
Волгоградская область;Бубновский (Волгоградская область);1007
Кировская область;Усть-Люга;1007
Республика Саха (Якутия);Эльдикан;1004
Волгоградская область;Краснокоротковский;1004
Саратовская область;Миусс (Саратовская область);1003
Кировская область;Среднеивкино;1003
Забайкальский край;Цаган-Ола (Забайкальский край);1002
Волгоградская область;Коммунар (Волгоградская область);1002
Алтайский край;Шубенка;1002
Волгоградская область;Солдатско-Степное (Волгоградская область);1001
Волгоградская область;Ближнеосиновский (Волгоградская область);1001
Волгоградская область;Оленье (Волгоградская область);1001
Тюменская область;Северо-Плетнево;1001
Республика Крым;Чайкино (Республика Крым);1000
Красноярский край;Большой Улуй;1000
Республика Татарстан;Кузембетьево;999
Республика Саха (Якутия);Джебарики-Хая;998
Рязанская область;Криуша (Рязанская область);998
Волгоградская область;Кременская;997
Ленинградская область;Белогорка;996
Кировская область;Рожки;996
Волгоградская область;Лапшинская (Волгоградская область);995
Волгоградская область;Валуевка (Волгоградская область);995
Саратовская область;Хрущевка (Саратовская область);994
Алтайский край;Хлебороб;994
Астраханская область;Федоровка (Астраханская область);993
Саратовская область;Раевка (Саратовская область);992
Республика Мордовия;Ардатово;991
Забайкальский край;Адриановка (Забайкальский край);991
Тюменская область;Буньково;991
Волгоградская область;Рябовский;990
Саратовская область;Лавровка (Саратовская область);989
Волгоградская область;Теркин;989
Волгоградская область;Верхнесолоновский (Волгоградская область);988
Забайкальский край;Кличка;988
Ульяновская область;Валгуссы;986
Красноярский край;Шалоболино;985
Омская область;Буняковка;985
Республика Башкортостан;Осиновка;984
Рязанская область;Новый Киструс;984
Волгоградская область;Тростянский (Волгоградская область);983
Республика Башкортостан;Кальтовка;982
Саратовская область;Большая Федоровка (Саратовская область);982
